iter	Passed	Remaining
900	27360	3006
901	27417	2978
902	27474	2951
903	27531	2923
904	27584	2895
905	27641	2867
906	27689	2839
907	27748	2811
908	27808	2783
909	27862	2755
910	27915	2727
911	27979	2699
912	28034	2671
913	28092	2643
914	28144	2614
915	28199	2585
916	28256	2557
917	28316	2529
918	28370	2500
919	28428	2472
920	28484	2443
921	28540	2414
922	28592	2385
923	28640	2355
924	28682	2325
925	28732	2296
926	28777	2266
927	28835	2237
928	28879	2207
929	28930	2177
930	28981	2147
931	29026	2117
932	29076	2088
933	29126	2058
934	29160	2027
935	29209	1997
936	29279	1968
937	29338	1939
938	29385	1908
939	29424	1878
940	29473	1847
941	29519	1817
942	29567	1787
943	29613	1756
944	29663	1726
945	29709	1695
946	29757	1665
947	29810	1635
948	29856	1604
949	29912	1574
950	29967	1544
951	30020	1513
952	30067	1482
953	30115	1452
954	30161	1421
955	30216	1390
956	30269	1360
957	30330	1329
958	30377	1298
959	30430	1267
960	30482	1237
961	30537	1206
962	30585	1175
963	30670	1145
964	30719	1114
965	30769	1082
966	30825	1051
967	30863	1020
968	30907	988
969	30945	957
970	30990	925
971	31031	893
972	31083	862
973	31127	830
974	31166	799
975	31208	767
976	31246	735
977	31292	703
978	31330	672
979	31373	640
980	31413	608
981	31465	576
982	31507	544
983	31549	512
984	31593	481
985	31646	449
986	31687	417
987	31725	385
988	31766	353
989	31811	321
990	31858	289
991	31910	257
992	31949	225
993	32002	193
994	32047	161
995	32094	128
996	32144	96
997	32196	64
998	32242	32
999	32280	0
